name,friend_follower_overlap,boto_english,boto_universal,boto_content,boto_friend,boto_network,boto_sentiment,boto_temporal,boto_user,id,id_str,name,screen_name,location,profile_location,description,url,entities_description_urls,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status_created_at,status_id,status_id_str,status_text,status_truncated,status_entities_hashtags,status_entities_symbols,status_entities_user_mentions,status_entities_urls,status_source,status_in_reply_to_status_id,status_in_reply_to_status_id_str,status_in_reply_to_user_id,status_in_reply_to_user_id_str,status_in_reply_to_screen_name,status_geo,status_coordinates,status_place,status_contributors,status_retweeted_status_created_at,status_retweeted_status_id,status_retweeted_status_id_str,status_retweeted_status_text,status_retweeted_status_truncated,status_retweeted_status_entities_hashtags,status_retweeted_status_entities_symbols,status_retweeted_status_entities_user_mentions,status_retweeted_status_entities_urls,status_retweeted_status_source,status_retweeted_status_in_reply_to_status_id,status_retweeted_status_in_reply_to_status_id_str,status_retweeted_status_in_reply_to_user_id,status_retweeted_status_in_reply_to_user_id_str,status_retweeted_status_in_reply_to_screen_name,status_retweeted_status_geo,status_retweeted_status_coordinates,status_retweeted_status_place,status_retweeted_status_contributors,status_retweeted_status_is_quote_status,status_retweeted_status_quoted_status_id,status_retweeted_status_quoted_status_id_str,status_retweeted_status_retweet_count,status_retweeted_status_favorite_count,status_retweeted_status_favorited,status_retweeted_status_retweeted,status_retweeted_status_possibly_sensitive,status_retweeted_status_lang,status_is_quote_status,status_quoted_status_id,status_quoted_status_id_str,status_retweet_count,status_favorite_count,status_favorited,status_retweeted,status_lang,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
ThamiMaiato,0.6521739130434783,0.0016347149115980926,0.0017440333583248883,0.07065345957790067,0.047366417379553806,0.07064549990637549,0.08670851966080818,0.07924665710801207,0.02998627881882177,726210587412275200,726210587412275200,Thamires,ThamiMaiato,,N/A,Tenha coragem e seja gentil.🌹,https://www.instagram.com/thamiresmaiato/,N/A,False,437,376,0,Sat Apr 30 00:44:31 +0000 2016,11443,,,True,False,10001,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,N/A,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1298764998710263812/0_h2YqvQ_normal.jpg,https://pbs.twimg.com/profile_images/1298764998710263812/0_h2YqvQ_normal.jpg,https://pbs.twimg.com/profile_banners/726210587412275200/1598024694,1DA1F2,C0DEED,DDEEF6,333333,True,N/A,True,False,,,,none
pam_elamartins,0.4675324675324675,0.003134129284123964,0.0029102973297387607,0.08038548850651454,0.10612616098731911,0.08358138135822211,0.06780783386008177,0.0887777161089108,0.025802285901841856,881212227377922048,881212227377922048,pampis,pam_elamartins,021,N/A,sei lá sou estranha,https://instagram.com/pam_elamartins?igshid=1fva0po1p98da,N/A,False,385,247,1,Sat Jul 01 18:05:41 +0000 2017,8379,,,False,False,14751,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,N/A,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1300209243820298244/ruvLcHdb_normal.jpg,https://pbs.twimg.com/profile_images/1300209243820298244/ruvLcHdb_normal.jpg,https://pbs.twimg.com/profile_banners/881212227377922048/1595037908,000000,000000,000000,000000,False,N/A,False,False,,,,none
k1m_glimmer_,0.4484304932735426,0.014543680863094452,0.06747906081432216,0.03645420537218021,0.40367530186124856,0.08358138135822211,0.05985886859558471,0.0887777161089108,0.2390568591566334,1209828453224271872,1209828453224271872,𝓖𝓵𝓲𝓶𝓶𝓮𝓻💖 TOH SPOILERS,k1m_glimmer_,catradora canon,N/A,"#𝙴𝚗𝚝𝚛𝚊𝚙𝚝𝚊|
ʜᴏɴᴇʏ ᴡʜᴀᴛ ʏᴏᴜ ᴡᴀɪᴛɪɴ' ғᴏʀ?ᴡᴇʟᴄᴏᴍᴇ ᴛᴏ ᴍʏ ᴄᴀɴᴅʏ sᴛᴏʀᴇ🌸|ela/ele/elu🏳️‍🌈|enfp☆",https://instagram.com/k1mglimmer_?igshid=m759rh0c6kgu,N/A,False,223,174,2,Wed Dec 25 13:29:26 +0000 2019,10912,,,False,False,3324,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,False,False,N/A,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300210105296838661/qQLyUmAK_normal.jpg,https://pbs.twimg.com/profile_images/1300210105296838661/qQLyUmAK_normal.jpg,https://pbs.twimg.com/profile_banners/1209828453224271872/1598830928,1DA1F2,C0DEED,DDEEF6,333333,True,N/A,True,False,,,,none
